param;accuracy;recall;TP;TN;FP;FN
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.026073206721577955};0.063467348;0.956013391;6114;4482453;116302;90219
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 4, 'contamination': 0.026073206721577955};0.065730331;0.956106254;6332;4482671;116084;90001
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.026073206721577955};0.049411936;0.955436618;4760;4481099;117656;91573
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.026073206721577955};0.046837532;0.955330976;4512;4480851;117904;91821
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.026073206721577955};0.053304683;0.955596359;5135;4481474;117281;91198
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.026073206721577955};0.046308119;0.955309251;4461;4480800;117955;91872
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 1, 'contamination': 0.026073206721577955};0.045747563;0.955286248;4407;4480746;118009;91926
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.026073206721577955};0.041657584;0.955118413;4013;4480352;118403;92320
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.026073206721577955};0.054145516;0.955630864;5216;4481555;117200;91117
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.026073206721577955};0.050667995;0.955488161;4881;4481220;117535;91452
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.026073206721577955};0.045280433;0.955267079;4362;4480701;118054;91971
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 1, 'contamination': 0.026073206721577955};0.045996699;0.955296472;4431;4480770;117985;91902
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.026073206721577955};0.038968993;0.955008085;3754;4480093;118662;92579
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.026073206721577955};0.054747594;0.95565557;5274;4481613;117142;91059
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.026073206721577955};0.042695649;0.955161011;4113;4480452;118303;92220
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.026073206721577955};0.043692193;0.955201905;4209;4480548;118207;92124
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 1, 'contamination': 0.026073206721577955};0.049702594;0.955448545;4788;4481127;117628;91545
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.12203008214118917};0.204530119;0.865845113;19703;4045516;553239;76630
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.12203008214118917};0.218222208;0.866406977;21022;4046835;551920;75311
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.12203008214118917};0.219395223;0.866455112;21135;4046948;551807;75198
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.12203008214118917};0.218793145;0.866430406;21077;4046890;551865;75256
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 8, 'contamination': 0.12203008214118917};0.218004215;0.866398031;21001;4046814;551941;75332
{'n_estimators': 25, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.12203008214118917};0.216426354;0.866333283;20849;4046662;552093;75484
{'n_estimators': 50, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.12203008214118917};0.214827733;0.866267682;20695;4046508;552247;75638
{'n_estimators': 75, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.12203008214118917};0.213592435;0.866216991;20576;4046389;552366;75757
{'n_estimators': 100, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.12203008214118917};0.217744698;0.866387382;20976;4046789;551966;75357
{'n_estimators': 200, 'max_samples': 0.2, 'max_features': 8, 'contamination': 0.12203008214118917};0.216530161;0.866337543;20859;4046672;552083;75474
{'n_estimators': 25, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.12203008214118917};0.213249873;0.866202934;20543;4046356;552399;75790
{'n_estimators': 50, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.12203008214118917};0.214381365;0.866249365;20652;4046465;552290;75681
{'n_estimators': 75, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.12203008214118917};0.210021488;0.866070455;20232;4046045;552710;76101
{'n_estimators': 100, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.12203008214118917};0.21619798;0.866323911;20827;4046640;552115;75506
{'n_estimators': 200, 'max_samples': 0.05, 'max_features': 8, 'contamination': 0.12203008214118917};0.216125315;0.866320929;20820;4046633;552122;75513
{'n_estimators': 25, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.12203008214118917};0.219945398;0.866477689;21188;4047001;551754;75145
{'n_estimators': 50, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.12203008214118917};0.221980007;0.866561181;21384;4047197;551558;74949
{'n_estimators': 75, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.12203008214118917};0.222550943;0.866584609;21439;4047252;551503;74894
{'n_estimators': 100, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.12203008214118917};0.220900418;0.866516879;21280;4047093;551662;75053
{'n_estimators': 200, 'max_samples': 0.5, 'max_features': 6, 'contamination': 0.12203008214118917};0.222447136;0.86658035;21429;4047242;551513;74904
