;param;accuracy;recall;precision;f1;TP;TN;FP;FN
83;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 300};0.88444945;0.190225572;0.037952767;0.063280211;;;;
84;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 100};0.884236888;0.185045623;0.036919292;0.061557056;;;;
85;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 200};0.884300784;0.186602722;0.037229955;0.062075038;;;;
86;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 300};0.884340826;0.187578504;0.037424638;0.062399641;;;;
87;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 100};0.88296918;0.154152783;0.030755721;0.05128028;;;;
88;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 200};0.88263351;0.145972823;0.0291237;0.048559145;;;;
89;{'contamination': 0.10283870705726693, 'max_features': 6, 'max_samples': 'auto', 'n_estimators': 300};0.88269485;0.147467638;0.029421937;0.049056408;;;;
90;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 100};0.884466063;0.190630417;0.038033539;0.063414887;;;;
91;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 200};0.884433263;0.189831107;0.037874065;0.063148989;;;;
92;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.2, 'n_estimators': 300};0.884431559;0.189789584;0.037865781;0.063135176;;;;
93;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 100};0.884148284;0.182886446;0.036488504;0.060838787;;;;
94;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 200};0.884375756;0.188429718;0.037594468;0.062682805;;;;
95;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 0.05, 'n_estimators': 300};0.884332732;0.187381271;0.037385287;0.06233403;;;;
96;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 100};0.882417113;0.140699449;0.028071585;0.04680491;;;;
97;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 200};0.882535961;0.143595653;0.02864942;0.047768358;;;;
98;{'contamination': 0.10283870705726693, 'max_features': 4, 'max_samples': 'auto', 'n_estimators': 300};0.882734466;0.14843304;0.029614549;0.049377558;;;;
99;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 100};0.883355541;0.16356804;0.032634202;0.054412349;;;;
100;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 200};0.883494835;0.166962515;0.033311449;0.055541551;;;;
101;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.2, 'n_estimators': 300};0.883661393;0.171021353;0.034121246;0.056891759;;;;
102;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 100};0.883062895;0.156436527;0.031211361;0.052039988;;;;
103;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 200};0.883478648;0.16656805;0.033232747;0.055410329;;;;
104;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 0.05, 'n_estimators': 300};0.883573641;0.168882937;0.033694601;0.056180396;;;;
105;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 100};0.882714871;0.147955529;0.029519279;0.04921871;;;;
106;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 200};0.882239481;0.136370714;0.02720794;0.045364919;;;;
107;{'contamination': 0.10283870705726693, 'max_features': 1, 'max_samples': 'auto', 'n_estimators': 300};0.881683581;0.122823954;0.024505164;0.04085847;;;;
108;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 100};0.848275261;0.244049287;0.035457463;0.061918852;;;;
109;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 200};0.848214347;0.242564853;0.035241792;0.06154223;;;;
110;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.2, 'n_estimators': 300};0.848171749;0.241526787;0.035090974;0.061278857;;;;
111;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 100};0.84804353;0.238402209;0.03463701;0.060486106;;;;
112;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 200};0.848193048;0.24204582;0.035166383;0.061410544;;;;
113;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 0.05, 'n_estimators': 300};0.84814832;0.240955851;0.035008024;0.061134003;;;;
114;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 100};0.847058245;0.214391745;0.031148574;0.054394303;;;;
115;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 200};0.846562407;0.202308659;0.029393045;0.051328648;;;;
116;{'contamination': 0.14122145722511142, 'max_features': 8, 'max_samples': 'auto', 'n_estimators': 300};0.846612247;0.203523196;0.029569503;0.051636794;;;;
117;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 100};0.848238627;0.243156551;0.035327759;0.061692352;;;;
118;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 200};0.848092517;0.239595985;0.034810451;0.060788985;;;;
119;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.2, 'n_estimators': 300};0.84815045;0.241007754;0.035015564;0.061147171;;;;
120;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 100};0.848029473;0.238059647;0.03458724;0.060399194;;;;
121;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 200};0.848121058;0.240291489;0.0349115;0.060965444;;;;
122;{'contamination': 0.14122145722511142, 'max_features': 6, 'max_samples': 0.05, 'n_estimators': 300};0.848057587;0.238744771;0.03468678;0.060573019;;;;
