datemesure;day_sin;day_cos;numero_jour
2014-07-04;-0.0343276005132431;-0.9994106342455054;185
2014-07-05;-0.051478754770346;-0.9986740898848304;186
2014-07-06;-0.0686147380021343;-0.9976432316860064;187
2014-07-07;-0.0857305001556945;-0.9963183634476755;188
2014-07-08;-0.1028209971373604;-0.9946998756145892;189
2014-07-09;-0.1198811922992271;-0.99278824516254;190
2014-07-10;-0.136906057923475;-0.990584035457797;191
2014-07-11;-0.1538905767040614;-0.9880878960910772;192
2014-07-12;-0.1708297432253441;-0.985300562686109;193
2014-07-13;-0.1877185654371986;-0.9822228566828408;194
2014-07-14;-0.2045520661262005;-0.978855685095358;195
2014-07-15;-0.2213252843824321;-0.9752000402445826;196
2014-07-16;-0.2380332770614851;-0.9712569994658315;197
2014-07-17;-0.254671120241229;-0.9670277247913204;198
2014-07-18;-0.2712339106729102;-0.962513462607708;199
2014-07-19;-0.287716767226167;-0.9577155432887804;200
2014-07-20;-0.3041148323275178;-0.9526353808033826;201
2014-07-21;-0.3204232733919109;-0.947274472298717;202
2014-07-22;-0.3366372842469099;-0.941634397659126;203
2014-07-23;-0.3527520865490947;-0.9357168190404936;204
2014-07-24;-0.36876293119226;-0.9295234803804004;205
2014-07-25;-0.3846650997070009;-0.923056206884176;206
2014-07-26;-0.4004539056512661;-0.9163169044870048;207
2014-07-27;-0.4161246959914748;-0.9093075592922356;208
2014-07-28;-0.431672852473784;-0.9020302369860708;209
2014-07-29;-0.447093792985114;-0.8944870822287955;210
2014-07-30;-0.4623829729035149;-0.88668031802274;211
2014-07-31;-0.4775358864374881;-0.8786122450571483;212
2014-08-01;-0.4925480679538642;-0.8702852410301554;213
2014-08-02;-0.5074150932938452;-0.8617017599480683;214
2014-08-03;-0.5221325810768248;-0.8528643314021597;215
2014-08-04;-0.5366961939916004;-0.8437755598231858;216
2014-08-05;-0.5511016400745999;-0.8344381237138474;217
2014-08-06;-0.5653446739747425;-0.8248547748594246;218
2014-08-07;-0.5794210982045637;-0.8150283375168114;219
2014-08-08;-0.5933267643772321;-0.8049617075821958;220
2014-08-09;-0.6070575744291004;-0.794657851737625;221
2014-08-10;-0.6206094818274228;-0.7841198065767104;222
2014-08-11;-0.6339784927628865;-0.77335067770973;223
2014-08-12;-0.6471606673266059;-0.7623536388483905;224
2014-08-13;-0.6601521206712315;-0.7511319308705201;225
2014-08-14;-0.6729490241558326;-0.7396888608649671;226
2014-08-15;-0.6855476064742154;-0.7280278011569848;227
2014-08-16;-0.6979441547663433;-0.7161521883143935;228
2014-08-17;-0.7101350157125356;-0.7040655221348059;229
2014-08-18;-0.7221165966101161;-0.691771364614222;230
2014-08-19;-0.7338853664321993;-0.6792733388972929;231
2014-08-20;-0.7454378568683002;-0.6665751282095631;232
2014-08-21;-0.7567706633464625;-0.653680474772006;233
2014-08-22;-0.7678804460366;-0.6405931786981752;234
2014-08-23;-0.7787639308347605;-0.627317096874294;235
2014-08-24;-0.7894179103280194;-0.6138561418226122;236
2014-08-25;-0.7998392447397191;-0.6002142805483686;237
2014-08-26;-0.8100248628547748;-0.5863955333706962;238
2014-08-27;-0.8199717629247767;-0.5724039727378154;239
2014-08-28;-0.8296770135526184;-0.5582437220268655;240
2014-08-29;-0.8391377545563938;-0.5439189543287248;241
2014-08-30;-0.8483511978123038;-0.5294338912181854;242
2014-08-31;-0.8573146280763322;-0.514792801509831;243
2014-09-01;-0.8660254037844384;-0.5000000000000004;244
2014-09-02;-0.8744809578310394;-0.4850598461951967;245
2014-09-03;-0.8826787983255475;-0.4699767430273199;246
2014-09-04;-0.8906165093267404;-0.4547551355561057;247
2014-09-05;-0.8982917515547529;-0.4393995096591416;248
2014-09-06;-0.9057022630804714;-0.4239143907098608;249
2014-09-07;-0.9128458599921354;-0.4083043422438936;250
2014-09-08;-0.9197204370389468;-0.3925739646141714;251
2014-09-09;-0.9263239682514952;-0.3767278936351848;252
2014-09-10;-0.9326545075388224;-0.3607707992167831;253
2014-09-11;-0.9387101892619444;-0.3447073839879337;254
2014-09-12;-0.9444892287836611;-0.3285423819108347;255
2014-09-13;-0.9499899229945008;-0.3122805568857948;256
2014-09-14;-0.9552106508146316;-0.2959267013472896;257
2014-09-15;-0.9601498736716017;-0.2794856348516098;258
2014-09-16;-0.9648061359537644;-0.2629622026565152;259
2014-09-17;-0.9691780654392534;-0.2463612742933153;260
2014-09-18;-0.9732643737003824;-0.2296877421317963;261
2014-09-19;-0.9770638564833508;-0.2129465199384157;262
2014-09-20;-0.9805753940631428;-0.1961425414281971;263
2014-09-21;-0.9837979515735163;-0.1792807588107359;264
2014-09-22;-0.9867305793119814;-0.1623661413307641;265
2014-09-23;-0.9893724130196828;-0.1454036738036903;266
2014-09-24;-0.9917226741361014;-0.1283983551465515;267
2014-09-25;-0.9937806700284983;-0.1113551969048086;268
2014-09-26;-0.9955457941960382;-0.0942792217754244;269
2014-09-27;-0.9970175264485268;-0.0771754621266464;270
2014-09-28;-0.998195433059714;-0.0600489585149484;271
2014-09-29;-0.9990791668951152;-0.0429047581995538;272
2014-09-30;-0.9996684675143132;-0.0257479136549881;273
2014-10-01;-0.99996316124771;-0.0085834810820867;274
2014-10-02;-0.99996316124771;0.0085834810820872;275
2014-10-03;-0.999668467514313;0.0257479136549886;276
2014-10-04;-0.9990791668951152;0.0429047581995543;277
2014-10-05;-0.998195433059714;0.0600489585149481;278
2014-10-06;-0.9970175264485268;0.077175462126646;279
2014-10-07;-0.9955457941960382;0.094279221775424;280
2014-10-08;-0.9937806700284983;0.1113551969048082;281
2014-10-09;-0.9917226741361016;0.1283983551465503;282
2014-10-10;-0.9893724130196828;0.1454036738036899;283
2014-10-11;-0.9867305793119814;0.1623661413307637;284
2014-10-12;-0.9837979515735163;0.1792807588107355;285
2014-10-13;-0.980575394063143;0.1961425414281967;286
2014-10-14;-0.9770638564833508;0.2129465199384153;287
2014-10-15;-0.9732643737003828;0.229687742131795;288
2014-10-16;-0.9691780654392538;0.2463612742933141;289
2014-10-17;-0.9648061359537649;0.262962202656514;290
2014-10-18;-0.9601498736716018;0.2794856348516095;291
2014-10-19;-0.9552106508146316;0.2959267013472893;292
2014-10-20;-0.9499899229945012;0.3122805568857945;293
2014-10-21;-0.9444892287836614;0.3285423819108344;294
2014-10-22;-0.938710189261944;0.3447073839879342;295
2014-10-23;-0.9326545075388224;0.3607707992167836;296
2014-10-24;-0.9263239682514948;0.3767278936351853;297
2014-10-25;-0.9197204370389466;0.3925739646141719;298
2014-10-26;-0.9128458599921356;0.4083043422438933;299
2014-10-27;-0.9057022630804716;0.4239143907098605;300
2014-10-28;-0.898291751554753;0.4393995096591413;301
2014-10-29;-0.8906165093267405;0.4547551355561054;302
2014-10-30;-0.8826787983255476;0.4699767430273195;303
2014-10-31;-0.8744809578310401;0.4850598461951956;304
2014-11-01;-0.8660254037844386;0.5000000000000001;305
2014-11-02;-0.8573146280763323;0.5147928015098308;306
2014-11-03;-0.848351197812304;0.5294338912181851;307
2014-11-04;-0.8391377545563939;0.5439189543287245;308
2014-11-05;-0.8296770135526191;0.5582437220268645;309
2014-11-06;-0.8199717629247775;0.5724039727378144;310
2014-11-07;-0.8100248628547756;0.5863955333706952;311
2014-11-08;-0.7998392447397199;0.6002142805483676;312
2014-11-09;-0.7894179103280197;0.613856141822612;313
2014-11-10;-0.7787639308347607;0.6273170968742937;314
2014-11-11;-0.7678804460366002;0.640593178698175;315
2014-11-12;-0.7567706633464628;0.6536804747720056;316
2014-11-13;-0.7454378568682999;0.6665751282095634;317
2014-11-14;-0.7338853664321989;0.6792733388972934;318
2014-11-15;-0.7221165966101161;0.6917713646142221;319
2014-11-16;-0.7101350157125358;0.7040655221348057;320
2014-11-17;-0.6979441547663436;0.7161521883143933;321
2014-11-18;-0.6855476064742156;0.7280278011569846;322
2014-11-19;-0.6729490241558331;0.7396888608649665;323
2014-11-20;-0.6601521206712321;0.7511319308705195;324
2014-11-21;-0.6471606673266065;0.7623536388483899;325
2014-11-22;-0.6339784927628872;0.7733506777097294;326
2014-11-23;-0.6206094818274227;0.7841198065767104;327
2014-11-24;-0.607057574429101;0.7946578517376245;328
2014-11-25;-0.5933267643772321;0.8049617075821959;329
2014-11-26;-0.5794210982045647;0.8150283375168107;330
2014-11-27;-0.5653446739747432;0.8248547748594242;331
2014-11-28;-0.5511016400745998;0.8344381237138475;332
2014-11-29;-0.5366961939916011;0.8437755598231853;333
2014-11-30;-0.5221325810768248;0.8528643314021598;334
2014-12-01;-0.5074150932938463;0.8617017599480677;335
2014-12-02;-0.4925480679538645;0.8702852410301551;336
2014-12-03;-0.4775358864374884;0.8786122450571482;337
2014-12-04;-0.4623829729035152;0.8866803180227398;338
2014-12-05;-0.4470937929851143;0.8944870822287954;339
2014-12-06;-0.4316728524737835;0.9020302369860708;340
2014-12-07;-0.4161246959914751;0.9093075592922356;341
2014-12-08;-0.4004539056512665;0.9163169044870048;342
2014-12-09;-0.3846650997070013;0.923056206884176;343
2014-12-10;-0.3687629311922604;0.9295234803804002;344
2014-12-11;-0.3527520865490943;0.935716819040494;345
2014-12-12;-0.3366372842469107;0.9416343976591258;346
2014-12-13;-0.3204232733919109;0.947274472298717;347
2014-12-14;-0.3041148323275185;0.9526353808033824;348
2014-12-15;-0.2877167672261669;0.9577155432887804;349
2014-12-16;-0.2712339106729109;0.962513462607708;350
2014-12-17;-0.2546711202412289;0.9670277247913204;351
2014-12-18;-0.2380332770614867;0.9712569994658312;352
2014-12-19;-0.2213252843824329;0.9752000402445824;353
2014-12-20;-0.2045520661262005;0.978855685095358;354
2014-12-21;-0.1877185654371994;0.9822228566828404;355
2014-12-22;-0.170829743225344;0.985300562686109;356
2014-12-23;-0.1538905767040627;0.9880878960910772;357
2014-12-24;-0.1369060579234754;0.9905840354577968;358
2014-12-25;-0.1198811922992275;0.99278824516254;359
2014-12-26;-0.1028209971373608;0.9946998756145892;360
2014-12-27;-0.0857305001556948;0.9963183634476755;361
2014-12-28;-0.0686147380021346;0.9976432316860064;362
2014-12-29;-0.0514787547703464;0.9986740898848304;363
2014-12-30;-0.0343276005132434;0.9994106342455052;364
2014-12-31;-0.0171663297547074;0.9998526477050268;365
2015-01-01;0.0171663297547073;0.9998526477050268;1
2015-01-02;0.0343276005132434;0.9994106342455052;2
2015-01-03;0.0514787547703465;0.9986740898848304;3
2015-01-04;0.068614738002134;0.9976432316860064;4
2015-01-05;0.0857305001556943;0.9963183634476755;5
2015-01-06;0.1028209971373604;0.9946998756145892;6
2015-01-07;0.1198811922992272;0.99278824516254;7
2015-01-08;0.1369060579234752;0.990584035457797;8
2015-01-09;0.1538905767040617;0.9880878960910772;9
2015-01-10;0.1708297432253441;0.985300562686109;10
2015-01-11;0.1877185654371987;0.9822228566828408;11
2015-01-12;0.2045520661262008;0.9788556850953578;12
2015-01-13;0.2213252843824325;0.9752000402445824;13
2015-01-14;0.2380332770614856;0.9712569994658314;14
2015-01-15;0.2546711202412287;0.9670277247913204;15
2015-01-16;0.27123391067291;0.962513462607708;16
2015-01-17;0.287716767226167;0.9577155432887804;17
2015-01-18;0.3041148323275178;0.9526353808033824;18
2015-01-19;0.3204232733919111;0.9472744722987168;19
2015-01-20;0.3366372842469102;0.941634397659126;20
2015-01-21;0.3527520865490948;0.9357168190404936;21
2015-01-22;0.3687629311922601;0.9295234803804004;22
2015-01-23;0.3846650997070012;0.923056206884176;23
2015-01-24;0.4004539056512664;0.9163169044870048;24
2015-01-25;0.4161246959914744;0.9093075592922358;25
2015-01-26;0.4316728524737838;0.9020302369860708;26
2015-01-27;0.4470937929851138;0.8944870822287956;27
2015-01-28;0.4623829729035149;0.88668031802274;28
2015-01-29;0.4775358864374882;0.8786122450571483;29
2015-01-30;0.4925480679538643;0.8702852410301553;30
2015-01-31;0.5074150932938455;0.8617017599480682;31
2015-02-01;0.5221325810768248;0.8528643314021597;32
2015-02-02;0.5366961939916004;0.8437755598231856;33
2015-02-03;0.5511016400746002;0.8344381237138473;34
2015-02-04;0.5653446739747429;0.8248547748594244;35
